timestamp,open,high,low,close,volume,trades
2026-02-27 06:56:00,67701.25,67701.26,67680.0,67680.0,3.62651,1679
2026-02-27 06:57:00,67680.01,67680.01,67657.5,67657.51,2.91412,2200
2026-02-27 06:58:00,67657.51,67660.6,67652.32,67660.6,3.26198,882
2026-02-27 06:59:00,67660.6,67660.6,67658.14,67658.14,0.98303,435
2026-02-27 07:00:00,67658.14,67683.4,67652.32,67680.02,2.59026,1223
2026-02-27 07:01:00,67680.02,67681.19,67652.32,67652.33,4.90537,1695
2026-02-27 07:02:00,67652.32,67652.33,67620.0,67620.0,10.8512,1758
2026-02-27 07:03:00,67620.0,67620.01,67578.91,67579.02,5.51634,1849
2026-02-27 07:04:00,67579.02,67596.0,67569.89,67595.99,5.37802,1791
2026-02-27 07:05:00,67596.0,67636.64,67595.99,67609.33,6.68901,2242
2026-02-27 07:06:00,67609.33,67620.01,67609.32,67615.88,1.32379,767
2026-02-27 07:07:00,67615.87,67629.95,67615.87,67627.15,2.02611,615
2026-02-27 07:08:00,67627.15,67720.01,67627.15,67720.01,3.92939,2069
2026-02-27 07:09:00,67720.0,67720.0,67677.98,67688.87,3.73562,2147
2026-02-27 07:10:00,67688.88,67702.47,67685.98,67685.99,2.22399,1151
2026-02-27 07:11:00,67685.99,67685.99,67667.39,67667.39,2.05276,1077
2026-02-27 07:12:00,67667.4,67689.3,67667.39,67689.29,2.17407,775
2026-02-27 07:13:00,67689.3,67689.3,67647.08,67647.09,4.82659,1672
2026-02-27 07:14:00,67647.08,67661.37,67647.08,67653.86,4.24609,1178
2026-02-27 07:15:00,67653.85,67653.86,67609.71,67609.71,2.6069,1673
2026-02-27 07:16:00,67609.72,67618.13,67580.0,67599.32,8.47471,1579
2026-02-27 07:17:00,67599.33,67626.17,67599.32,67600.33,2.21963,1466
2026-02-27 07:18:00,67600.34,67623.5,67591.86,67623.49,3.57465,1212
2026-02-27 07:19:00,67623.5,67641.49,67623.49,67641.48,0.92142,603
2026-02-27 07:20:00,67641.49,67651.53,67624.05,67631.74,1.56268,1384
2026-02-27 07:21:00,67631.75,67664.25,67578.25,67582.03,12.12893,3127
2026-02-27 07:22:00,67582.02,67613.52,67579.35,67579.36,5.96186,2038
2026-02-27 07:23:00,67579.35,67625.49,67572.89,67616.97,12.92468,1804
2026-02-27 07:24:00,67616.97,67624.61,67605.9,67605.91,4.1317,1027
2026-02-27 07:25:00,67605.91,67617.85,67599.06,67617.85,5.2468,1400
2026-02-27 07:26:00,67617.84,67640.0,67615.96,67615.96,3.18036,1474
2026-02-27 07:27:00,67615.96,67615.97,67568.71,67568.72,2.1828,1996
2026-02-27 07:28:00,67568.71,67568.72,67536.54,67536.55,32.82827,2431
2026-02-27 07:29:00,67536.54,67539.99,67459.3,67506.39,98.00904,3631
2026-02-27 07:30:00,67506.4,67547.8,67506.39,67526.2,16.99822,2817
2026-02-27 07:31:00,67526.21,67544.03,67510.36,67544.02,18.82155,1902
2026-02-27 07:32:00,67544.02,67571.13,67544.02,67567.85,13.13477,2428
2026-02-27 07:33:00,67567.86,67582.48,67550.91,67577.85,15.07334,3057
2026-02-27 07:34:00,67577.85,67619.69,67572.9,67619.68,14.98788,2714
2026-02-27 07:35:00,67619.68,67630.74,67611.5,67618.63,12.53385,2348
2026-02-27 07:36:00,67618.63,67618.63,67594.5,67607.43,16.8921,2021
2026-02-27 07:37:00,67607.44,67621.28,67506.8,67506.8,27.98666,4429
2026-02-27 07:38:00,67506.81,67546.8,67490.19,67543.16,17.37412,2788
2026-02-27 07:39:00,67543.17,67559.41,67513.68,67559.41,15.44255,3235
2026-02-27 07:40:00,67559.41,67570.11,67466.1,67484.95,20.37803,3961
2026-02-27 07:41:00,67484.96,67516.8,67463.32,67471.83,17.5074,3336
2026-02-27 07:42:00,67471.84,67527.91,67471.84,67527.91,14.61401,2644
