timestamp,open,high,low,close,volume,trades
2026-03-01 06:56:00,66939.25,66968.0,66939.24,66945.33,5.21684,1552
2026-03-01 06:57:00,66945.32,66949.18,66930.82,66930.83,3.1583,1062
2026-03-01 06:58:00,66930.83,66939.77,66930.0,66930.01,3.69737,737
2026-03-01 06:59:00,66930.0,66930.01,66926.68,66926.68,1.32988,517
2026-03-01 07:00:00,66926.69,66940.25,66922.66,66922.66,4.63106,1506
2026-03-01 07:01:00,66922.67,66922.67,66908.85,66908.86,3.92088,766
2026-03-01 07:02:00,66908.86,66925.65,66906.0,66906.01,3.22887,1239
2026-03-01 07:03:00,66906.01,66906.01,66853.7,66857.62,9.43624,2586
2026-03-01 07:04:00,66857.62,66857.62,66816.5,66827.04,7.71262,2374
2026-03-01 07:05:00,66827.05,66827.05,66789.2,66790.83,3.07444,1596
2026-03-01 07:06:00,66790.84,66790.84,66784.93,66784.94,2.45174,506
2026-03-01 07:07:00,66784.94,66811.02,66784.58,66787.59,6.19523,1626
2026-03-01 07:08:00,66787.6,66829.42,66787.59,66813.73,8.4265,1793
2026-03-01 07:09:00,66813.73,66863.84,66813.72,66863.84,6.01344,1532
2026-03-01 07:10:00,66863.83,66911.44,66863.83,66911.44,6.31031,2112
2026-03-01 07:11:00,66911.44,67040.0,66911.43,67039.99,10.7954,3776
2026-03-01 07:12:00,67040.0,67052.27,66998.65,67013.07,9.09822,2707
2026-03-01 07:13:00,67013.07,67042.0,67013.06,67013.07,9.85423,1799
2026-03-01 07:14:00,67013.08,67060.44,67006.45,67016.21,15.8394,3483
2026-03-01 07:15:00,67016.22,67032.15,66981.66,67002.38,11.26131,3166
2026-03-01 07:16:00,67002.37,67007.93,66961.27,66994.54,13.4945,2262
2026-03-01 07:17:00,66994.54,67019.34,66980.69,67000.39,16.49313,1613
2026-03-01 07:18:00,67000.39,67004.05,66984.41,66990.1,3.04335,1635
2026-03-01 07:19:00,66990.11,67018.88,66990.11,66999.5,6.06856,1297
2026-03-01 07:20:00,66999.49,67010.46,66998.31,67003.75,1.62602,696
2026-03-01 07:21:00,67003.74,67070.44,66998.0,67070.44,4.5082,2152
2026-03-01 07:22:00,67070.44,67070.44,67061.79,67061.79,2.2364,695
2026-03-01 07:23:00,67061.8,67061.8,67038.91,67038.92,2.30852,1033
2026-03-01 07:24:00,67038.91,67038.91,66990.11,66997.63,4.5286,2350
